title,genres,is_comedy,is_european,is_scifi,is_action,is_crime,is_drama,is_animation,is_family,is_fantasy,is_music,is_romance,is_reality,is_western,is_thriller,is_horror,is_sport,is_documentation,is_war,is_history
Omniscient,"['scifi', 'drama', 'thriller']",False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Mortel,"['horror', 'scifi', 'crime', 'drama', 'fantasy']",False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False
Elisa & Marcela,"['drama', 'romance', 'european']",False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
The Hard Way,['action'],False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Edge of Democracy,"['documentation', 'history']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
The Crimes That Bind,"['crime', 'drama', 'thriller']",False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Put Your Head on My Shoulder,"['drama', 'comedy', 'romance']",True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
"Love, Guaranteed","['comedy', 'romance']",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
The Kissing Booth 2,"['comedy', 'romance']",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Undercover Brother 2,"['comedy', 'action']",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
La Révolution,"['drama', 'thriller', 'action', 'fantasy']",False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
Chocolate,['drama'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Dear Mother,"['comedy', 'drama']",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Circle France,['reality'],False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
The Trial,"['crime', 'thriller', 'drama']",False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Touch Your Heart,"['drama', 'comedy', 'romance']",True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
The F**k-It List,['comedy'],True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Minions of Midas,"['crime', 'drama', 'thriller']",False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
LEGO Marvel Spider-Man: Vexed by Venom,"['animation', 'action', 'comedy', 'family']",True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
Ni de coña,"['comedy', 'european']",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Betaal,"['thriller', 'action', 'horror']",False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
My Country: The New Age,"['drama', 'action']",False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Letter Reader,['drama'],False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Rookie Historian Goo Hae-Ryung,"['romance', 'comedy', 'drama', 'history']",True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
Legend of Exorcism,"['scifi', 'action', 'fantasy', 'animation']",False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Homecoming: A Film by Beyoncé,"['documentation', 'music']",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
Beyblade Burst Surge,['animation'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Ricky Zoom,"['animation', 'family']",False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
NiNoKuni,"['family', 'fantasy', 'romance', 'animation', 'action']",False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False
Hard Kill,"['thriller', 'action']",False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
World Famous Lover,"['romance', 'drama']",False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
"Hi Bye, Mama!","['scifi', 'comedy', 'drama', 'fantasy']",True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
The 2nd,"['action', 'drama']",False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
BREAK IT ALL: The History of Rock in Latin America,"['documentation', 'music']",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
The Surgeon's Cut,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Nobody Knows I'm Here,"['drama', 'music']",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
John Mulaney & The Sack Lunch Bunch,"['comedy', 'family']",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Pets United,"['comedy', 'animation']",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Aziz Ansari: Right Now,['comedy'],True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Seized,"['action', 'thriller']",False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Dolly Parton: Here I Am,"['documentation', 'music']",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
